Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-14.542083	-14.542083
1	0.950747	150000	-14.324446	-28.866529
2	0.926679	150000	-14.106767	-42.973297
3	0.902980	150000	-13.890318	-56.863615
4	0.879648	150000	-13.683591	-70.547205
5	0.856682	150000	-13.535801	-84.083006
6	0.834079	150000	-13.322588	-97.405595
7	0.811838	150000	-13.112221	-110.517816
8	0.789957	150000	-12.899865	-123.417681
9	0.768433	150000	-12.698936	-136.116618
10	0.747266	150000	-12.546406	-148.663023
11	0.726452	150000	-12.237217	-160.900240
12	0.705989	150000	-12.064679	-172.964919
13	0.685877	150000	-11.865859	-184.830778
14	0.666112	150000	-11.796757	-196.627535
15	0.646693	150000	-11.621697	-208.249232
16	0.627618	150000	-11.691052	-219.940285
17	0.608884	150000	-11.356980	-231.297265
18	0.590490	150000	-11.146066	-242.443331
19	0.572433	150000	-10.955044	-253.398375
20	0.554712	150000	-10.816816	-264.215191
21	0.537324	150000	-10.659647	-274.874837
22	0.520268	150000	-10.447178	-285.322015
23	0.503540	150000	-10.273671	-295.595686
24	0.487139	150000	-10.094725	-305.690411
25	0.471063	150000	-9.878998	-315.569409
26	0.455310	150000	-9.691945	-325.261354
27	0.439877	150000	-9.448477	-334.709831
28	0.424762	150000	-9.202360	-343.912191
29	0.409963	150000	-9.132639	-353.044830
30	0.395478	150000	-8.845560	-361.890391
31	0.381305	150000	-8.758323	-370.648714
32	0.367440	150000	-8.563595	-379.212309
33	0.353883	150000	-8.392423	-387.604731
34	0.340630	150000	-8.265957	-395.870689
35	0.327680	150000	-8.030158	-403.900846
36	0.315030	150000	-7.912130	-411.812976
37	0.302677	150000	-7.724812	-419.537788
38	0.290619	150000	-7.487381	-427.025169
39	0.278855	150000	-7.353556	-434.378725
40	0.267381	150000	-7.183094	-441.561819
41	0.256195	150000	-7.016483	-448.578302
42	0.245294	150000	-6.891061	-455.469363
43	0.234677	150000	-6.634908	-462.104270
44	0.224340	150000	-6.458712	-468.562982
45	0.214281	150000	-6.338389	-474.901371
46	0.204498	150000	-6.139733	-481.041105
47	0.194988	150000	-6.048015	-487.089119
48	0.185749	150000	-5.874549	-492.963668
49	0.176777	150000	-5.718221	-498.681890
50	0.168070	150000	-5.526100	-504.207990
51	0.159626	150000	-5.510301	-509.718291
52	0.151441	150000	-5.271497	-514.989787
53	0.143514	150000	-5.127464	-520.117251
54	0.135841	150000	-4.938027	-525.055279
55	0.128420	150000	-4.935810	-529.991089
56	0.121247	150000	-4.785104	-534.776193
57	0.114320	150000	-4.655531	-539.431724
58	0.107637	150000	-4.416982	-543.848706
59	0.101193	150000	-4.342061	-548.190767
60	0.094986	150000	-4.315576	-552.506344
61	0.089014	150000	-4.147329	-556.653673
62	0.083273	150000	-4.134141	-560.787813
63	0.077760	150000	-4.028467	-564.816280
64	0.072472	150000	-3.902859	-568.719140
65	0.067406	150000	-3.728683	-572.447823
66	0.062558	150000	-3.643228	-576.091051
67	0.057926	150000	-3.474283	-579.565333
68	0.053506	150000	-3.323966	-582.889299
69	0.049295	150000	-3.221491	-586.110790
70	0.045289	150000	-3.090213	-589.201003
71	0.041485	150000	-2.922300	-592.123303
72	0.037880	150000	-2.781853	-594.905156
73	0.034469	150000	-2.676637	-597.581793
74	0.031250	150000	-2.515406	-600.097199
75	0.028218	150000	-2.439427	-602.536626
76	0.025370	150000	-2.302898	-604.839524
77	0.022702	150000	-2.217257	-607.056781
78	0.020209	150000	-2.081025	-609.137806
79	0.017889	150000	-1.979909	-611.117715
80	0.015736	150000	-1.839179	-612.956894
81	0.013746	150000	-1.780257	-614.737151
82	0.011916	150000	-1.663497	-616.400648
83	0.010240	150000	-1.598130	-617.998777
84	0.008714	150000	-1.513014	-619.511792
85	0.007334	150000	-1.372065	-620.883857
86	0.006093	150000	-1.282053	-622.165910
87	0.004988	150000	-1.256686	-623.422596
88	0.004013	150000	-1.194493	-624.617089
89	0.003162	150000	-1.134885	-625.751973
90	0.002430	150000	-1.015655	-626.767629
91	0.001810	150000	-0.846224	-627.613853
92	0.001296	150000	-0.777777	-628.391629
93	0.000882	150000	-0.676430	-629.068059
94	0.000559	150000	-0.549011	-629.617070
95	0.000320	150000	-0.391366	-630.008436
96	0.000156	150000	-0.303174	-630.311610
97	0.000057	150000	-0.217966	-630.529576
98	0.000010	150000	-0.119633	-630.649209
99	0.000000	150000	-0.020917	-630.670126
Log marginal likelihood:	-630.670126
